Average,CL Appearances,Compression Ratio,Average,CL Appearances,Compression Ratio,Average,CL Appearances,Compression Ratio,Average,CL Appearances,Compression Ratio,CLs Processed
2to10 Buffer,2to10 Buffer,2to10 Buffer,11to100 Buffer,11to100 Buffer,11to100 Buffer,101to1000 Buffer,101to1000 Buffer,101to1000 Buffer,1001+ Buffer,1001+ Buffer,1001+ Buffer,
2.0,5,0.055865921787709494,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,358
2.6530612244897958,49,0.09770480430132392,18.5,2,0.19390934844192634,102.0,1,2.9473087818696886,0.0,0,0.0,3530
2.5,70,0.09913890777249038,18.5,2,0.15510990256061635,108.0,1,2.6430999320190347,0.0,0,0.0,4413
2.4864864864864864,74,0.10061876259369111,18.5,2,0.15053881680228723,111.0,1,2.70969870244117,0.0,0,0.0,4547
2.5128205128205128,78,0.10553092361534615,18.5,2,0.14666809513606172,111.0,1,2.640025712449111,0.0,0,0.0,4667
2.5,86,0.11107666873320934,18.5,2,0.14145484604257078,116.0,1,2.78073982227733,0.0,0,0.0,4839
2.5217391304347827,92,0.11799989476822703,18.5,2,0.13805970149253732,118.0,1,2.808390480032271,0.0,0,0.0,4958
2.5,100,0.12124151309408342,18.5,2,0.13278370514064017,122.0,1,2.88729388942774,0.0,0,0.0,5155
2.4803149606299213,127,0.143938690603984,18.5,2,0.12610537951363301,135.0,1,3.35759027266028,0.0,0,0.0,5428
2.4825174825174825,143,0.14523627328505376,18.5,2,0.11280487804878049,155.0,1,3.9592946605141726,0.0,0,0.0,6068
2.476510067114094,149,0.14675320616108892,16.333333333333332,3,0.12852631015470262,159.0,1,4.059900433595632,0.0,0,0.0,6227
2.4705882352941178,170,0.16022962613087238,16.333333333333332,3,0.12358451719168209,164.0,1,4.153180975911056,0.0,0,0.0,6476
2.4832535885167464,209,0.19037054836635028,17.0,3,0.12806499261447563,170.0,1,4.268833087149187,0.0,0,0.0,6770
2.5069767441860464,215,0.19546657964939665,17.0,3,0.12541588311876176,174.0,1,4.379574714306379,0.0,0,0.0,6913
2.5458715596330275,218,0.20067585791738818,17.666666666666668,3,0.13298300430810017,176.0,1,4.3993750887658,0.0,0,0.0,7041
