Average,CL Appearances
2.407468199,2437
2.407377049,2440
2.407286124,2443
2.408588957,2445
2.408738261,2449
2.408646003,2452
2.408628409,2457
2.409633758,2512
2.404297652,2513
2.404449742,2517
2.40444092,2522
2.395486936,2526
2.392405063,2528
2.393125247,2531
2.392744479,2536
2.392241379,2552
2.391865467,2557
2.391643889,2561
2.391575663,2564
2.391981316,2569
2.392385392,2574
2.389988359,2577
2.387296669,2582
2.393436293,2590
2.399768697,2594
2.400999616,2601
2.398311589,2606
2.39900345,2609
2.396399847,2611
2.396710023,2614
2.396485867,2618
2.398932113,2622
2.399619048,2625
2.400456795,2627
2.401901141,2630
2.403036053,2635
2.406131718,2642
2.406344411,2648
2.404788627,2673
2.240798747,5108
2.238411891,5113
2.237490227,5116
2.237407263,5122
2.234490831,5126
2.234892788,5130
2.235351372,5137
2.233761182,5142
2.233831812,5149
2.235407436,5191
2.228023033,5210
2.228587852,5219
2.228943338,5224
2.230445592,5229
2.227932747,5234
2.225252718,5243
2.227809524,5250
2.226450999,5255
2.22756654,5260
2.359090909,5500
2.359309718,5505
2.359499637,5516
2.360578662,5530
2.360223786,5541
2.357953522,5551
2.358171346,5556
2.359403092,5562
2.359259925,5567
2.360552764,5572
2.360896861,5575
2.360867228,5581
2.360902256,5586
2.361130995,5588
2.363132487,5593
2.363181412,5595
2.36720843,5599
2.369087989,5603
2.369406311,5609
2.371056853,5611
2.372283577,5614
2.372974898,5617
2.372887387,5621
2.374355326,5623
2.375822222,5625
2.377264654,5630
2.378771743,5634
2.381138096,5641
2.382394616,5646
2.384138786,5649
2.384642604,5652
2.386560566,5655
2.387062566,5658
2.386713287,5720
2.390179976,5723
2.392177405,5727
2.392358688,5732
2.393031359,5740
2.382188916,5738
2.382967607,5742
2.372559275,5736
2.373454102,5741
2.374630242,5747
2.375195686,5749
2.368933728,5749
2.369848722,5751
2.370177268,5754
2.370724084,5759
2.371096461,5764
2.371532594,5768
2.372032577,5771
2.374935087,5777
2.375259516,5780
2.375583607,5783
2.376015206,5787
2.37644621,5791
2.376769071,5794
2.377716454,5798
2.377973113,5802
2.378229418,5806
2.378787879,5808
2.379624849,5811
2.379666265,5813
2.378847807,5815
2.379872918,5823
2.385618672,5827
2.386106346,5830
2.386289632,5835
2.386406437,5841
2.38905047,5845
2.389259449,5847
2.389676978,5851
2.390160574,5854
2.390368852,5856
2.390443686,5860
2.391334016,5862
2.39154161,5864
2.392333901,5870
2.39162268,5873
2.391933288,5876
2.390712706,5879
2.391363482,5882
2.392107046,5904
2.392077197,5907
2.392216582,5910
2.392561285,5915
2.392905405,5920
2.392911392,5925
2.393188332,5931
2.393729985,5933
2.393934288,5935
2.394745706,5938
2.394750126,5943
2.394953743,5945
2.395493526,5947
2.395864851,5949
2.396505376,5952
2.396777442,5958
2.396979866,5960
2.397384306,5964
2.775264443,6145
2.776422764,6150
2.777055574,6154
2.77732662,6157
2.777308878,6161
2.777741726,6164
2.778894472,6169
2.778083522,6178
2.777616044,6183
2.77720291,6185
2.783344072,6208
2.784645099,6213
2.785070785,6216
2.786058465,6226
2.785634119,6237
2.789557976,6244
2.790046407,6249
2.79028133,6256
2.790129372,6261
2.790170736,6267
2.880579011,6632
2.881440193,6638
2.881192591,6641
2.881396749,6644
2.880390684,6655
2.879574085,6668
2.879682349,6674
2.879754417,6678
2.879808412,6681
2.879994015,6683
2.881077038,6685
2.88189565,6689
2.882098027,6692
2.883196415,6695
2.883977901,6697
2.885505299,6699
2.885590692,6704
2.885825011,6709
2.885893043,6713
2.887449754,6717
2.886590266,6719
2.886725138,6727
2.886907416,6729
2.88812955,6731
2.887403446,6732
2.888492947,6735
2.888394182,6738
2.889218449,6743
2.889267714,6746
2.889596918,6748
2.89037037,6750
2.890583358,6754
2.890500148,6758
2.890532544,6760
2.89059728,6764
2.892107597,6766
2.893205318,6770
2.894612546,6775
2.893742621,6776
2.894216583,6778
2.894247788,6780
2.89370485,6783
2.892557111,6785
2.892473118,6789
2.893977323,6791
2.894760082,6794
2.884994846,6791
2.880724488,6791
2.880612395,6793
2.880647535,6795
2.880553104,6798
2.880658436,6804
2.880546577,6806
2.879388864,6807
2.879036994,6812
2.878832331,6817
2.878552593,6826
2.878495096,6831
2.878841089,6834
2.878601726,6837
2.877339181,6840
2.877610632,6847
2.877500365,6849
2.877974018,6851
2.87832921,6871
2.878655609,6873
2.878814298,6882
2.879901249,6886
2.879953549,6889
2.879878137,6893
2.880510441,6896
2.880852297,6899
2.881176641,6901
2.881211068,6903
2.881100652,6905
2.881424642,6907
2.881655093,6912
2.882591093,6916
2.882369942,6920
2.883126264,6922
2.883448873,6924
2.883838384,6930
2.88372764,6932
2.884049611,6934
2.884083045,6936
2.884404728,6938
2.884521238,6945
2.882757632,6977
2.882791231,6979
2.882984818,6982
2.882891911,6985
2.882832618,6990
2.882723112,6992
2.883218982,6996
2.885049265,7003
2.887080657,7005
2.886480319,7012
2.886259977,7016
2.886577372,7018
2.886784392,7022
3.212341198,7163
3.213897028,7167
3.213638265,7171
3.211310768,7179
3.210577592,7185
3.21242875,7193
3.210774785,7202
3.210628556,7207
3.210066556,7212
3.210365854,7216
3.216724257,7235
3.216712707,7240
3.216484882,7243
3.214729003,7251
3.211222942,7253
3.207994487,7255
3.206088993,7259
3.206388545,7263
3.205971381,7268
3.206375378,7278
3.279268614,7602
3.279742343,7607
3.279500657,7610
3.278871391,7620
3.278499278,7623
3.276439791,7640
3.276709821,7647
3.276398327,7652
3.277371309,7654
3.278662836,7658
3.277639995,7661
3.277531315,7664
3.278857441,7667
3.278320949,7671
3.278378731,7673
3.279478827,7675
3.279354335,7682
3.279078845,7686
3.279453836,7690
3.280254777,7693
3.281314969,7696
3.28152188,7701
3.281708425,7703
3.281245944,7705
3.280446637,7702
3.282061267,7704
3.282842692,7711
3.282659409,7716
3.283642015,7721
3.283365696,7725
3.284254108,7729
3.284495021,7733
3.281908703,7733
3.281209615,7738
3.280490956,7740
3.281415472,7743
3.280459473,7748
3.279060766,7751
3.273008907,7747
3.272774194,7750
3.271848415,7758
3.271965988,7762
3.272212207,7766
3.267893924,7768
3.267335649,7773
3.26694098,7777
3.265647089,7781
3.264766307,7788
3.264083152,7793
3.258503401,7791
3.257344452,7795
3.256505576,7801
3.256150692,7804
3.255924171,7807
3.255665088,7811
3.255278311,7815
3.254666326,7822
3.254343383,7828
3.253958121,7832
3.254116146,7835
3.25369898,7840
3.253090353,7847
3.252738854,7850
3.252387623,7853
3.252418534,7856
3.252003562,7861
3.250825921,7870
3.250952502,7874
3.250412489,7879
3.249587825,7885
3.248478702,7888
3.248067908,7893
3.248195517,7897
3.247816732,7901
3.251328105,7906
3.251138088,7908
3.250189442,7918
3.249495204,7924
3.249243189,7928
3.248707929,7933
3.247828823,7945
3.246950836,7953
3.246701018,7957
3.246294901,7962
3.246014811,7967
3.245074664,7969
3.243984962,7980
3.243581716,7985
3.243459757,7989
3.243057293,7994
3.2434663,7997
3.242908909,8003
3.24010948,8038
3.239895535,8041
3.240904011,8053
3.241250931,8058
3.24066956,8065
3.240922047,8069
3.240401288,8074
3.518753044,8212
3.518753044,8212
