Average,CL Appearances,Average,CL Appearances,Average,CL Appearances,Average,CL Appearances,CLs Processed,Compression Ratio
2to10 Buffer,2to10 Buffer,11to100 Buffer,11to100 Buffer,101to1000 Buffer,101to1000 Buffer,1001+ Buffer,1001+ Buffer,,
2.451219512195122,82,15.0,1,306.0,1,0.0,0,1432,0.6354748603351955
2.5375854214123006,878,24.82,50,296.3333333333333,3,2546.0,1,14120,0.5110481586402267
2.5811345646437993,1516,24.526315789473685,57,276.0,4,3148.0,1,17652,0.4582483571266712
2.670096463022508,1555,24.448275862068964,58,277.25,4,3264.0,1,18188,0.4533208709038927
2.7477931904161412,1586,24.2,60,278.75,4,3369.0,1,18668,0.4485751017784444
2.8294190358467244,1618,23.625,64,280.0,4,3526.0,1,19356,0.4453399462698905
2.895476772616137,1636,23.176470588235293,68,280.75,4,3636.0,1,19832,0.4417103670835014
2.9607843137254903,1683,23.357142857142858,70,282.75,4,3832.0,1,20620,0.43836081474296795
2.991116046640755,1801,22.714285714285715,77,285.75,4,4165.0,1,21712,0.42686072218128224
3.0278330019880717,2012,22.59550561797753,89,294.5,4,4675.0,1,24272,0.4250164798945286
2.801005025125628,1990,17.68944099378882,161,295.75,4,4841.0,1,24908,0.42002569455596594
2.7698296836982967,2055,17.6775956284153,183,299.0,4,5100.0,1,25904,0.4123301420630019
2.834569045412419,2158,18.265625,192,302.5,4,5364.0,1,27080,0.4018463810930576
2.832800365463682,2189,18.821428571428573,196,304.0,4,5505.0,1,27652,0.39928395776074066
2.8403628117913833,2205,19.42211055276382,199,305.0,4,5626.0,1,28164,0.3973157221985514
2.845775592311131,2237,20.044776119402986,201,305.75,4,5765.0,1,28724,0.3948266258181312
2.8616268788682584,2262,20.698019801980198,202,306.5,4,5881.0,1,29264,0.39307681793329685
2.858016601135867,2289,21.21078431372549,204,307.5,4,5970.0,1,29676,0.3911241407197735
2.8481288076588336,2298,21.46698113207547,212,308.5,4,6088.0,1,30164,0.3894045882508951
2.8490728762397586,2319,21.86635944700461,217,309.75,4,6197.0,1,30672,0.38745435576421494
2.8691748610517314,2339,22.477064220183486,218,310.75,4,6340.0,1,31224,0.38528055342044576
2.937679083094556,2792,23.804979253112034,241,329.0,6,7023.0,1,37556,0.389285333901374
2.734715690466011,4678,24.42960288808664,277,356.22222222222223,9,8225.0,1,46204,0.3292572071682105
2.8217195841528517,7118,24.601823708206688,329,340.3076923076923,13,6028.5,2,65268,0.3157443157443157
2.825600894354388,7156,24.596385542168676,332,323.64285714285717,14,6103.5,2,65900,0.3152655538694993
2.811873350923483,7580,24.6,345,312.8666666666667,15,6340.0,2,69068,0.3169919499623559
2.8225086762518594,8068,24.71780821917808,365,315.6666666666667,15,6590.0,2,72524,0.31458551651866973
2.8210539306429716,8103,24.801608579088473,373,316.46666666666664,15,6688.0,2,73352,0.3151788635620024
2.820019603038471,8162,25.021220159151195,377,317.26666666666665,15,6769.0,2,74060,0.3147853092087497
2.8136231180184557,8236,24.875647668393782,386,304.625,16,6861.0,2,74860,0.31377237510018696
2.820041147283069,8263,25.224806201550386,387,305.125,16,6939.0,2,75464,0.31326195271917734
2.8188170099987953,8301,25.279596977329973,397,305.875,16,7021.0,2,76184,0.31257219363645905
2.8165545410860164,8324,25.276119402985074,402,294.3529411764706,17,7080.5,2,76744,0.3123762118211195
2.8152911754197927,8397,25.402439024390244,410,295.2352941176471,17,7183.0,2,77540,0.31080732525148314
2.817857567471169,8411,25.67632850241546,414,296.11764705882354,17,7260.5,2,78144,0.3104269041769042
2.814718100890208,8425,25.89021479713604,419,296.70588235294116,17,7315.5,2,78652,0.3104180440421096
2.8120567375886525,8460,26.06338028169014,426,297.52941176470586,17,7392.5,2,79328,0.31000403388463094
2.8135693215339233,8475,26.356643356643357,429,298.2352941176471,17,7457.5,2,79888,0.30982124974964953
2.817047327525312,8494,26.736596736596738,429,298.8235294117647,17,7512.0,2,80404,0.3097109596537486
2.8196875367085634,8513,27.11860465116279,430,299.7647058823529,17,7580.0,2,80972,0.30937855061008745
2.825796626054358,8536,27.484918793503482,431,300.3529411764706,17,7663.5,2,81620,0.3089928938985542
2.830569827183559,8564,27.636363636363637,440,301.3529411764706,17,7774.5,2,82504,0.30823960050421795
2.8286745865362217,8586,27.896162528216703,443,302.11764705882354,17,7835.0,2,83032,0.3080860391174487
2.8296141329614133,8604,28.261851015801355,443,302.6470588235294,17,7885.0,2,83496,0.30797882533295007
2.8315349808562478,8619,28.623873873873872,444,303.29411764705884,17,7954.0,2,84052,0.30783324608575646
2.8327929597035664,8636,28.71523178807947,453,304.2352941176471,17,8028.0,2,84764,0.3074890283610967
2.831348976996879,8651,28.96936542669584,457,304.94117647058823,17,8091.0,2,85312,0.30726040885221306
2.825369344413666,8664,29.03440860215054,465,305.52941176470586,17,8142.0,2,85808,0.3070809248554913
2.8265729430744413,8678,29.236559139784948,465,294.77777777777777,18,8209.0,2,86344,0.3068655610117669
2.8258368802484757,8693,29.501070663811564,467,295.55555555555554,18,8264.0,2,86832,0.3068223696333149
2.822339692024822,8702,29.58438818565401,474,296.1666666666667,18,8333.5,2,87388,0.3067583649929052
2.818056828597617,8728,29.359342915811087,487,286.89473684210526,19,8443.5,2,88256,0.3062001450326324
2.8154673378332,8741,29.26530612244898,490,270.0952380952381,21,8509.5,2,88812,0.30593838670449935
2.816843546730572,8763,29.610204081632652,490,270.9047619047619,21,8570.5,2,89340,0.3057644951869264
2.8170634468618294,8779,29.945010183299388,491,272.0,21,8635.5,2,89896,0.305675447183412
2.817778788223258,8797,30.12857142857143,490,264.90909090909093,22,8692.5,2,90392,0.3056465173909195
2.8193877551020408,8820,30.488798370672097,491,266.1818181818182,22,8754.5,2,90992,0.30541146474415337
2.820907342459554,8839,30.875763747454176,491,267.22727272727275,22,8819.0,2,91544,0.30513195840251683
2.8302496656263934,8972,31.00808080808081,495,262.3478260869565,23,8956.0,2,93012,0.30451984690147504
2.8297186074963854,8991,31.155241935483872,496,256.5416666666667,24,9026.0,2,93584,0.3043255257308942
2.8316128316128317,9009,31.392785571142284,499,257.75,24,9105.5,2,94220,0.30405434090426664
2.833204377141594,9047,31.69061876247505,501,258.625,24,9182.5,2,94900,0.30367755532139096
2.836568151742391,9068,31.675944333996025,503,247.73076923076923,26,9264.0,2,95632,0.3033294294796721
2.8354430379746836,9085,31.966269841269842,504,218.48,25,6545.333333333333,3,96112,0.30321916097885804
2.835640518567348,9102,32.25098814229249,506,219.6,25,6596.666666666667,3,96708,0.3029635604086528
2.8417825468082776,9133,32.426877470355734,506,215.92307692307693,26,6645.333333333333,3,97396,0.3027229044313935
2.8396504642271982,9155,32.60707269155206,509,216.8846153846154,26,6680.0,3,97884,0.30251113562992926
2.8368415312465918,9169,32.78167641325536,513,217.76923076923077,26,6722.666666666667,3,98424,0.3024262375030481
2.835547810934437,9182,33.03495145631068,515,218.80769230769232,26,6758.333333333333,3,98916,0.30230700796635535
2.832753371030883,9196,33.159309021113245,521,219.76923076923077,26,6810.0,3,99532,0.3020335168588997
2.825893342022374,9207,33.10357815442561,531,220.76923076923077,26,6863.666666666667,3,100148,0.30176339018252984
2.8255448335682534,9223,33.36466165413534,532,221.57692307692307,26,6906.333333333333,3,100664,0.3017364698402607
2.828948792898127,9237,33.429906542056074,535,218.22222222222223,27,6959.666666666667,3,101348,0.3015451710936575
2.8231667748215443,9246,33.173752310536045,541,211.13793103448276,29,7006.333333333333,3,101892,0.3012994150669336
2.8221574344023326,9261,33.40331491712707,543,212.27586206896552,29,7051.666666666667,3,102440,0.3012007028504491
2.8199762700895263,9271,33.45787545787546,546,209.5,30,7096.333333333333,3,102996,0.30107965357877975
2.82122905027933,9308,33.79341864716636,547,210.56666666666666,30,7142.666666666667,3,103644,0.30058662344178144
2.828198545143346,9348,34.06776556776557,546,208.06451612903226,31,7218.666666666667,3,104516,0.3001550001913582
2.830382699035302,9433,34.184981684981686,546,205.8125,32,7271.333333333333,3,105284,0.29938072261692183
2.829875079398687,9446,34.43613138686131,548,207.0625,32,7325.666666666667,3,105892,0.2992388471272618
2.8321537974015,9467,34.65082266910421,547,204.8181818181818,33,7380.333333333333,3,106512,0.29898978518852337
2.8321914198376725,9487,34.94332723948812,547,205.9090909090909,33,7422.0,3,107040,0.298916292974589
2.836822724881641,9505,35.277372262773724,548,207.06060606060606,33,7481.666666666667,3,107760,0.29868225686711214
2.8360982780344393,9524,35.362637362637365,546,202.0857142857143,35,7522.666666666667,3,108272,0.2984335747007537
