Average,CL Appearances,Average,CL Appearances,Average,CL Appearances,Average,CL Appearances,CLs Processed
2to10 Buffer,2to10 Buffer,11to100 Buffer,11to100 Buffer,101to1000 Buffer,101to1000 Buffer,1001+ Buffer,1001+ Buffer,
2.0,5,,0,,0,,0,358
2.6530612244897958,49,18.5,2,102.0,1,,0,3530
2.5,70,18.5,2,108.0,1,,0,4413
2.4864864864864864,74,18.5,2,111.0,1,,0,4547
2.5128205128205128,78,18.5,2,111.0,1,,0,4667
2.5,86,18.5,2,116.0,1,,0,4839
2.5217391304347827,92,18.5,2,118.0,1,,0,4958
2.5,100,18.5,2,122.0,1,,0,5155
2.4803149606299213,127,18.5,2,135.0,1,,0,5428
2.4825174825174825,143,18.5,2,155.0,1,,0,6068
2.476510067114094,149,16.333333333333332,3,159.0,1,,0,6227
2.4705882352941178,170,16.333333333333332,3,164.0,1,,0,6476
2.4832535885167464,209,17.0,3,170.0,1,,0,6770
2.5069767441860464,215,17.0,3,174.0,1,,0,6913
2.5458715596330275,218,17.666666666666668,3,176.0,1,,0,7041
2.5565610859728505,221,17.666666666666668,3,180.0,1,,0,7181
2.557017543859649,228,18.333333333333332,3,181.0,1,,0,7316
2.560344827586207,232,18.333333333333332,3,184.0,1,,0,7419
2.5446808510638297,235,17.0,4,186.0,1,,0,7541
2.575,240,17.0,4,187.0,1,,0,7668
2.5846774193548385,248,17.0,4,191.0,1,,0,7806
2.51864406779661,295,15.857142857142858,7,216.0,1,,0,9389
2.4639769452449567,347,20.0,12,248.0,1,,0,11551
2.3514056224899598,498,21.785714285714285,14,316.0,1,,0,16317
2.3618290258449304,503,21.928571428571427,14,320.0,1,,0,16475
2.3536121673003803,526,22.285714285714285,14,322.0,1,,0,17267
2.326699834162521,603,22.428571428571427,14,328.0,1,,0,18131
2.327272727272727,605,22.785714285714285,14,338.0,1,,0,18338
2.328407224958949,609,22.928571428571427,14,344.0,1,,0,18515
2.3264,625,23.214285714285715,14,347.0,1,,0,18715
2.3234375,640,23.357142857142858,14,351.0,1,,0,18866
2.31969696969697,660,23.642857142857142,14,352.0,1,,0,19046
2.3227752639517347,663,23.785714285714285,14,356.0,1,,0,19186
2.348148148148148,675,24.071428571428573,14,357.0,1,,0,19385
2.369661266568483,679,24.214285714285715,14,361.0,1,,0,19536
2.373529411764706,680,24.5,14,363.0,1,,0,19663
2.3801169590643276,684,24.642857142857142,14,369.0,1,,0,19832
2.3994169096209914,686,24.928571428571427,14,371.0,1,,0,19972
2.4055232558139537,688,25.071428571428573,14,374.0,1,,0,20101
2.42463768115942,690,25.357142857142858,14,375.0,1,,0,20243
2.443001443001443,693,25.5,14,378.0,1,,0,20405
2.485064011379801,703,25.785714285714285,14,382.0,1,,0,20626
2.477272727272727,704,24.933333333333334,15,386.0,1,,0,20758
2.482269503546099,705,25.2,15,387.0,1,,0,20874
2.4922206506364923,707,25.333333333333332,15,392.0,1,,0,21013
2.515492957746479,710,25.666666666666668,15,392.0,1,,0,21191
2.5133991537376588,709,24.11764705882353,17,394.0,1,,0,21328
2.4858757062146895,708,22.35,20,395.0,1,,0,21452
2.5063469675599435,709,22.55,20,398.0,1,,0,21586
2.507735583684951,711,22.65,20,401.0,1,,0,21708
2.4985955056179776,712,22.285714285714285,21,402.0,1,,0,21847
2.525801952580195,717,22.523809523809526,21,407.0,1,,0,22064
2.5424200278164117,719,22.857142857142858,21,409.0,1,,0,22203
2.5463347164591976,723,22.952380952380953,21,412.0,1,,0,22335
2.547586206896552,725,23.285714285714285,21,413.0,1,,0,22474
2.5482093663911844,726,23.38095238095238,21,417.0,1,,0,22598
2.5535714285714284,728,23.714285714285715,21,419.0,1,,0,22748
2.5761316872427984,729,23.904761904761905,21,422.0,1,,0,22886
2.5691489361702127,752,23.5,22,425.0,1,,0,23253
2.580901856763926,754,23.681818181818183,22,429.0,1,,0,23396
2.5963060686015833,758,23.863636363636363,22,430.0,1,,0,23555
2.5796344647519582,766,23.47826086956522,23,435.0,1,,0,23725
2.6046814044213265,769,23.782608695652176,23,437.0,1,,0,23908
2.598179453836151,769,23.5,24,440.0,1,,0,24028
2.6194805194805193,770,23.708333333333332,24,442.0,1,,0,24177
2.618556701030928,776,23.833333333333332,24,445.0,1,,0,24349
2.613607188703466,779,23.52,25,446.0,1,,0,24471
2.617157490396927,781,23.72,25,449.0,1,,0,24606
2.6017925736235594,781,23.074074074074073,27,450.0,1,,0,24729
2.575641025641026,780,21.677419354838708,31,455.0,1,,0,24883
2.461038961038961,770,18.86046511627907,43,456.0,1,,0,25037
2.460543337645537,773,18.953488372093023,43,459.0,1,,0,25166
2.4690721649484537,776,18.886363636363637,44,460.0,1,,0,25337
2.3800259403372244,771,17.735849056603772,53,464.0,1,,0,25473
2.3821243523316062,772,17.88679245283019,53,467.0,1,,0,25610
2.382923673997413,773,18.20754716981132,53,470.0,1,,0,25749
2.3797953964194374,782,18.60377358490566,53,471.0,1,,0,25911
2.37992376111817,787,18.90566037735849,53,482.0,1,,0,26129
2.380352644836272,794,18.962264150943398,53,482.0,1,,0,26321
2.3819095477386933,796,19.28301886792453,53,485.0,1,,0,26473
2.381727158948686,799,19.58490566037736,53,488.0,1,,0,26628
2.380299251870324,802,19.69811320754717,53,490.0,1,,0,26760
2.3728179551122195,802,19.654545454545456,55,492.0,1,,0,26940
2.373134328358209,804,20.036363636363635,55,493.0,1,,0,27068
2.3763975155279504,805,20.09090909090909,55,498.0,1,,0,27202
2.3804213135068153,807,20.2,55,500.0,1,,0,27356
